platform,key,name,rating,user_numbers,creator,last_updated,reviews
firefox,orbitab,orbitab,0.0,1,AnthyG,2020-03-12 00:00:00,[]
firefox,quidco-cashback,Quidco Cashback Reminder,5.0,334,Maple Syrup Media.,2020-07-01 00:00:00,[]
firefox,coinstats,CoinStats - Crypto Portfolio Tracker,0.0,13,CoinStats,2020-05-19 00:00:00,[]
firefox,leboncoin-pdf,PDF Exporter for leboncoin.fr,0.0,2,Bamdad Sabbagh,2020-07-22 00:00:00,[]
firefox,btc,Just Bitcoin Ticker [Pro],5.0,2,n22dl2,2020-01-14 00:00:00,[]
firefox,cardcounter-trello-totalizer,CardCounter Trello Totalizer,0.0,34,Henrique Brugugnoli,2020-05-26 00:00:00,[]
firefox,bitcoin-balance-viewer,Bitcoin balance viewer,0.0,4,Cabbache,2020-02-20 00:00:00,[]
firefox,burstcoin-extension,Burstcoin Extension,0.0,4,Neon,2020-03-14 00:00:00,[]
firefox,coinmarketcal-browser-addon,CoinMarketCal - Browser Addon,0.0,1,Luluwebmaster,2020-07-02 00:00:00,[]
firefox,twitch-coin,Twitch Coin,0.0,0,Amin NAIRI,2020-07-16 00:00:00,[]
firefox,localbitcoins-paxful,localbitcoins paxful,5.0,1,localbitcoins paxful,2020-01-09 00:00:00,[]
firefox,coinstats-crypto-tracker,CoinStats - Crypto Portfolio Tracker,0.0,0,DevOne,2020-07-19 00:00:00,[]
firefox,psd-braunschweig-cashbackradar,PSD Bank Braunschweig CashbackRadar,0.0,7,MEHRWERK GmbH,2020-06-10 00:00:00,[]
firefox,duolingo-word-bank-dnd,Duolingo Word Bank Dnd,0.0,3,blmage,2020-07-09 00:00:00,[]
firefox,leanibank,LeanIbank,0.0,2,Doctorfox,2020-06-21 00:00:00,[]
firefox,cashback-ranking-brasil,Cashback Ranking Brasil,0.0,4,Cashback Ranking,2020-05-29 00:00:00,[]
firefox,frostcandy-s-passbank,FrostCandy's PassBank,0.0,1,FrostCandy,2020-07-03 00:00:00,[]
firefox,dcard-banner-removal,Dcard-banner-removal,0.0,0,Pardo,2020-05-05 00:00:00,[]
firefox,bitcoinrewards,bitcoinrewards,0.0,6,BitcoinRewards.com,2020-06-08 00:00:00,[]
firefox,btcpro,Just Bitcoin Ticker,5.0,12,n22dl2,2020-01-14 00:00:00,[]
firefox,copy-lbc-ads,Copie d'annonces LeBonCoin.fr,4.3,50,Max1Truc,2020-05-28 00:00:00,[]
firefox,bitcoin-crypto-news,Bitcoin Crypto News,4.7,38,OinkAndStuff,2020-04-27 00:00:00,[]
firefox,altcoin-ticker,Altcoin Ticker,4.4,83,NG-Entwicklung,2020-05-31 00:00:00,[]
firefox,lolli-earn-bitcoin,Lolli: Earn Bitcoin When You Shop,4.7,"1,647","Lolli, Inc.",2020-07-09 00:00:00,[]
firefox,refined-bitbucket-,Refined Bitbucket,4.7,601,Ronald Rey,2020-06-08 00:00:00,[]
firefox,focused-stackexchange,Focused StackExchange,0.0,2,Eric Xing,2020-04-18 00:00:00,[]
firefox,stackexchangenotifications,StackExchangeNotifications,4.3,16,Guilherme Nascimento,2020-04-27 00:00:00,[]
firefox,underbite,Underbite,4.7,52,luk3yx,2020-05-21 00:00:00,[]
firefox,dokobit-plugin,Dokobit e-signing and e-identification,5.0,852,Dokobit,2020-07-15 00:00:00,[]
firefox,bitly-url-shortner,Bitly URL Shortner,4.0,88,DSNet,2020-01-30 00:00:00,[]
