platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,afommmnmohdebmgabmbglefkbholcobb,traderboxsltptrailing-on,"Traderbox:SL,TP,Trailing on crypto exchange",4.8,31,Traderbox.io,13/1/20 0:00
chrome,djhecjelehcfnnlbkegkckcngmngdnjf,reynapay,ReynaPay,5,10,Reyna Foundation,15/1/20 0:00
chrome,hplnpmobilcipddcpeejfmcpkfcklbpb,accby-wallet,Accby Wallet,0,3,accbychain,21/1/20 0:00
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0,19,Pibals,25/1/20 0:00
chrome,nkddgncdjgjfcddamfgcmfnlhccnimig,saturn-wallet,Saturn Wallet,4.875,"1,000",Saturn Network,29/1/20 0:00
chrome,pdpahdgmbnpeepflkedmdcieohpcpchh,cryptocurrency-price-tick,Cryptocurrency Price Ticker,5,2,Ethan Chiasson,1/2/20 0:00
chrome,ffkicalblogbdapjfckabempifkaieia,cryptocurrency-rates,Cryptocurrency Rates,4,8,Psych,1/2/20 0:00
chrome,epllefgepapckihklfccpocjbnelpojp,coinclaim,CoinClaim,3.833333333,"2,000",Satorify.io,1/2/20 0:00
chrome,kjjlmgehohdbclcmfmphmifnppmcmeio,bitcoin-price,Bitcoin Price,4.166666667,361,shaomxing,5/2/20 0:00
chrome,bcnchpdbjajimfokaipiekoanbnhmdij,btcbit,BTCBIT,0,1,paulblair931,19/2/20 0:00
chrome,pdknmigbbbhmllnmgdfalmedcmcefdfn,etheraddresslookup,EtherAddressLookup,4.602040816,"60,000",Harry,20/2/20 0:00
chrome,mengdaiflgahpehifoiopgcdbjapabpn,bitcoin-price-converter,Bitcoin price converter,4.5,6,coen.baars,22/2/20 0:00
chrome,jlnmjekmbboahjghfaoliefacdpdcegp,upbitmacro,Upbit_Macro,0,14,petabyte,2/3/20 0:00
chrome,kgjhgbkbobjkkhkfddbdmcppkaialoel,bitcoincash-bch-price-tic,BitcoinCash (BCH) Price Ticker,4.333333333,243,Taha,10/3/20 0:00
chrome,lfalmidbffpgbpbjckichdnemaoenemj,snappy-cash,Snappy Cash,5,24,sterlingbeason,11/3/20 0:00
chrome,nppgknjeeojeghmaegambagdckglfcgf,chainlink-linkusd-price-t,ChainLink (LINK/USD) Price Ticker,4,23,Taha,11/3/20 0:00
chrome,blnieiiffboillknjnepogjhkgnoapac,equal-wallet,EQUAL Wallet,4.819672131,"1,000",equalnetwork,14/3/20 0:00
chrome,gfchpofllbnjfhgmjbgmhljdpolcjing,mraddon-blockchain-viewer,MrAddon BlockChain Viewer for Chrome,0,24,MrAddon ®,16/3/20 0:00
chrome,ojopeinoooepnfnmifmmjebccpnjamea,vechain-price-checker,VeChain Price Checker,4.5,41,A Byte Ahead,18/3/20 0:00
chrome,japgcbmdokcibjdencjalgfjeglgbcgc,tx-ray-beta-protect-your,TX-ray (Beta): Protect Your Wallets,5,20,TX-ray,19/3/20 0:00
chrome,dconegbmnkoeccohdkifggkgdhoaedgc,ethereum-ethusd-price-tic,Ethereum (ETH/USD) Price Ticker,5,36,Taha,20/3/20 0:00
chrome,gkpgfnkkpnffhdidnjnainjfbfhoipbb,the-crypto-lab,The Crypto Lab,0,5,Louis Mzk,20/3/20 0:00
chrome,lkcjlnjfpbikmcmbachjpdbijejflpcm,steem-keychain,Steem Keychain,4.818181818,"4,000",Matt Rosen (@yabapmatt),24/3/20 0:00
chrome,ieafcflodgfbcjeggikhlnckkfkhbmln,make-crypto-easier,Make Crypto Easier,0,0,Louis Mzk,25/3/20 0:00
chrome,jadobjbcgibiopkifknkfnohlelpocll,badger-wallet,Badger Wallet,4.862068966,"5,000",badgerwallet,1/4/20 0:00
chrome,pnndplcbkakcplkjnolgbkdgjikjednm,tron-wallet-explorer-tron,Tron Wallet & Explorer - Tronium,4.666666667,196,syattdevelopment,11/4/20 0:00
chrome,fbaljaifnljnpoppjfehljmephpghaip,crypto-stats,Crypto Stats,5,48,ValueApps,14/4/20 0:00
chrome,fbbckponafgkennhnmgfoikfmbkiplgp,coinstats-crypto-portfoli,CoinStats - Crypto Portfolio Tracker,4.714285714,"1,000",Coin Stats Inc,15/4/20 0:00
chrome,imloifkgjagghnncjkhggdhalmcnfklk,trezor-password-manager,Trezor Password Manager,3.92,"10,000",SatoshiLabs,16/4/20 0:00
chrome,cnogbbmciffpibmkphohpebghmomaemi,bittube-airtime-donations,"BitTube AirTime, Donations, Adblocker, Wallet",4.429906542,"10,000",BitTubeINT OÜ,16/4/20 0:00
chrome,nanjmdknhkinifnkgdcggcfnhdaammmj,guildwallet,GuildWallet,4.272727273,"1,000",BitGuild,22/4/20 0:00
chrome,mebalpjlaipopoeiekhmfkmoifpkfaki,fetchai-web-wallet,Fetch.ai Web Wallet,0,9,Fetch.AI,24/4/20 0:00
chrome,ndlajjnoopalbckoomjjefeifnlmihaj,tokenmask,TokenMask,0,1,coinmoni,12/5/20 0:00
chrome,mkhdgadimehhojbgpphhkodolihgmmfe,coinmarketcap,Coinmarketcap,5,14,conan,19/5/20 0:00
chrome,mnlfoooikhmcaomegmfopecjngldnmmn,ethermine-watcher,Ethermine Watcher,0,18,DW Crypto,19/5/20 0:00
chrome,nkhbpikfdnmjhkdnflbgikpepnbilppk,safepay,SafePay,0,3,contact.teamkz,21/5/20 0:00
chrome,jjcbgfhjneiblaifakgnnkdakebpebaf,bitcoin-auto-converter,Bitcoin Auto-Converter,4.074074074,"1,000",Concept211,23/5/20 0:00
chrome,fhilaheimglignddkjgofkcbgekhenbh,oxygen-atomic-crypto-wall,Oxygen - Atomic Crypto Wallet,5,45,Oxygen - Blockchain Solutions,26/5/20 0:00
chrome,gbjepgaebckfidagpfeioimheabiohmg,zeon-wallet,ZEON Wallet,0,19,ZEON Network,27/5/20 0:00
chrome,kpcngaggbajehefdinhniockfhdhacnb,coinbag-track-all-your-co,Coinbag - Track all your coins in one place,5,111,CoinBag,29/5/20 0:00
chrome,nbojhgkmkpakgfljijgnfofliafnbbfk,cryptocurrency-volume-mom,Cryptocurrency volume momentum indicator,5,40,arslan ali hunzai,1/6/20 0:00
chrome,ijpmihhlfkkfeimocndobeghgdggkail,adsbitcoinio-get-bitcoins,adsbitcoin.io - Get Bitcoins in a second.,4,"6,000",adsbitcoin.io,7/6/20 0:00
chrome,ehmhocjlcagmfeokjhmgmednhbdhpgep,binance-cryptocurrency-pr,Binance cryptocurrency price alerts,5,291,arslan ali hunzai,8/6/20 0:00
chrome,bbmdccojdbpcpmoadenplnoncfcijgkn,onewallet-kainos-mainnet,OneWallet Kainos Mainnet,0,176,OneLedger Technologies Inc.,8/6/20 0:00
chrome,kmocgjpcbdnngajkppcemacfebaaeiid,trafficlyio-get-bitcoins,trafficly.io - Get Bitcoins in a second.,4.12962963,"10,000",trafficly.io,8/6/20 0:00
chrome,jdbkfmneiiiihofbccenainnlipalonj,binance-news-notification,Binance News Notification,0,3,chiahoahong,9/6/20 0:00
chrome,bkdlmhjcfkfainkpdcdnaefganapmblg,skywallet,SkyWallet,0,3,developer,13/6/20 0:00
chrome,imijjbmbnebfnbmonjeileijahaipglj,moonlet-wallet,Moonlet Wallet,2.5,415,Moonlet,15/6/20 0:00
chrome,jbdaocneiiinmjbjlgalhcelgbejmnid,nifty-wallet,Nifty Wallet,4.681818182,"2,000",POA Network,19/6/20 0:00
chrome,dacfkmlnegfmibbeabdomhahgjoipoln,xion-wallet,XION Wallet,4.2,287,Xion Global,22/6/20 0:00
chrome,jhgnbkkipaallpehbohjmkbjofjdmeid,steemkeychain,SteemKeychain,0,168,HappyBerrysBoy,23/6/20 0:00
chrome,ondajjlhahcmbfdmkpcmdmbbjkdimlob,poker-now-ledger,Poker Now Ledger,5,152,adhyyan1252,29/6/20 0:00
chrome,innfmlnnhfcebjcnfopadflecemoddnp,ethereum-gas-price-extens,Ethereum Gas Price Extension,4.866666667,"1,000",nieldlr,29/6/20 0:00
chrome,nngceckbapebfimnlniiiahkandclblb,bitwarden-free-password-m,Bitwarden - Free Password Manager,4.838973162,"400,000",Bitwarden Inc.,30/6/20 0:00
chrome,chohglfmmlfhnkloampcdmnnhnhegbfg,bitbns-extension,Bitbns Extension,4.166666667,970,Bitbns,30/6/20 0:00
chrome,gkhhaokpfelnkknjbpampjiboffiogji,currency-converter,Currency Converter,1.666666667,207,faddevataissia,3/7/20 0:00
chrome,dkdedlpgdmmkkfjabffeganieamfklkm,cyano-wallet,Cyano Wallet,4.111111111,"1,000",cyano-publishing,8/7/20 0:00
chrome,jlbkpppjbkmkjjemjcofmccodofkknmc,cryptocurrency-prices-cha,Cryptocurrency Prices & Charts - BitDuck,5,25,CrisValls,11/7/20 0:00
chrome,mogdapldllopbflceaceonkalaebghbe,bitcoin-crypto-news,Bitcoin Crypto News,0,11,oinkandstuff,14/7/20 0:00
chrome,ainmgbleakflfgjjoolgmgfepddnpeln,ethereum-monitor,Ethereum monitor,0,2,Awork,15/7/20 0:00
chrome,ehmpejjklcibliopgbghpgfinhbjopnn,moon-shop-online-with-bit,Moon: Shop online with Bitcoin,4.245283019,"3,000",PayWithMoon.com,16/7/20 0:00
chrome,onebfemgnhgpkdcmijbpjakhhidonjfl,coincorner-earn-bitcoin,CoinCorner - Earn Bitcoin,5,61,CoinCorner,19/7/20 0:00
chrome,nfgkjnippgahnedamcjhoankdmfegbhc,heath-ledger-wallpaper-hd,Heath Ledger Wallpaper HD,0,11,https://lovelytab.com/,20/7/20 0:00
chrome,mbfcnfgpimdeehokhmhdhmpmkphdeamd,ethereum-price-ticker-eth,Ethereum Price Ticker | ETH Price Ticker,5,266,"Root Consulting, Inc",23/7/20 0:00
chrome,mhhgjpidhclpobhkdnlopdfhfamalnia,stormx-shop-earn-crypto,StormX: Shop & Earn Crypto,5,"1,000","StormX Global SEZC, Inc.",25/7/20 0:00
chrome,gmmnjkphjfnanlojihefoeidjmbakfde,ethereum-price-in-eur,Ethereum price in EUR,0,0,crypto prices,28/7/20 0:00
chrome,klnaejjgbibmhlephnhpmaofohgkpgkd,zilpay,ZilPay,4.428571429,903,lich666black,28/7/20 0:00
chrome,kpfopkelmapcoipemfendmdcghnegimn,liquality-wallet,Liquality Wallet,5,71,Liquality,29/7/20 0:00
chrome,afbcbjpbpfadlkmhmclhkeeodmamcflc,math-wallet,Math Wallet,4.666666667,"4,000",Math Global,29/7/20 0:00
chrome,jcacnejopjdphbnjgfaaobbfafkihpep,hive-keychain,Hive Keychain,5,"2,000",Matt Rosen (@yabapmatt),29/7/20 0:00
chrome,iloecoadcnbkhepoaacjnegdmhapiiek,bitstamp-ticker,Bitstamp Ticker,4.5,76,Piotrek,30/7/20 0:00
chrome,codoeojgdliacolimfncpgjgnckappbj,blockchain-poker-hud,Blockchain Poker HUD,4.833333333,124,Rainbow Flop,30/7/20 0:00
